session people time duration ID_full ID noHp flow id_flow id_flow_full
1.FA1 Jeanne 1011.755 1.36400000000003 1.FA1.10 10 1 NR 10_1_NR 1.FA1.10_1_NR
1.FA1 Jeanne 1017.558 4.43599999999992 1.FA1.04 4 2 3 4_2_3 1.FA1.04_2_3
1.FA1 Jeanne 1021.995 3.75400000000013 1.FA1.04 4 2 2 4_2_2 1.FA1.04_2_2
1.FA1 Jeanne 1027.798 4.43599999999992 1.FA1.03 3 1 6 3_1_6 1.FA1.03_1_6
1.FA1 Jeanne 1032.235 1.36400000000003 1.FA1.03 3 1 4 3_1_4 1.FA1.03_1_4
1.FA1 Jeanne 1041.792 7.16700000000014 1.FA1.04 4 2 4 4_2_4 1.FA1.04_2_4
1.FA1 Jeanne 1051.35 3.75300000000016 1.FA1.04 4 1 4 4_1_4 1.FA1.04_1_4
1.FA1 Jeanne 1056.128 4.30999999999995 1.FA1.04 4 1 2 4_1_2 1.FA1.04_1_2
1.FA1 Jeanne 1060.439 5.45899999999983 1.FA1.04 4 3 2 4_3_2 1.FA1.04_3_2
1.FA1 Jeanne 1073.75 9.21499999999992 1.FA1.09 9 2 6 9_2_6 1.FA1.09_2_6
1.FA1 Jeanne 1083.648 4.77800000000002 1.FA1.10 10 2 2 10_2_2 1.FA1.10_2_2
1.FA1 Jeanne 1096.96 4.77800000000002 1.FA1.05 5 2 4 5_2_4 1.FA1.05_2_4
1.FA1 Jeanne 1101.739 5.09799999999996 1.FA1.05 5 2 2 5_2_2 1.FA1.05_2_2
1.FA1 Jeanne 1114.006 7.16699999999992 1.FA1.04 4 1 3 4_1_3 1.FA1.04_1_3
1.FA1 Jeanne 1125.952 8.5329999999999 1.FA1.05 5 2 1 5_2_1 1.FA1.05_2_1
1.FA1 Jeanne 1134.486 5.54500000000007 1.FA1.05 5 1 3 5_1_3 1.FA1.05_1_3
1.FA1 Jeanne 1142.422 21.5029999999999 1.FA1.10 10 1 1 10_1_1 1.FA1.10_1_1
1.FA1 Jeanne 1163.926 3.41200000000003 1.FA1.10 10 1 6 10_1_6 1.FA1.10_1_6
1.FA1 Jeanne 1167.339 8.42599999999993 1.FA1.10 10 1 1 10_1_1 1.FA1.10_1_1
1.FA1 Jeanne 1177.131 3.75399999999991 1.FA1.05 5 1 2 5_1_2 1.FA1.05_1_2
1.FA1 Jeanne 1180.886 1.02299999999991 1.FA1.05 5 1 NR 5_1_NR 1.FA1.05_1_NR
1.FA1 Jeanne 1193.515 6.48400000000015 1.FA1.07 7 1 6 7_1_6 1.FA1.07_1_6
1.FA1 Jeanne 1203.03 4.71299999999997 1.FA1.03 3 1 1 3_1_1 1.FA1.03_1_1
1.FA1 Jeanne 1207.744 1.08699999999999 1.FA1.03 3 1 4 3_1_4 1.FA1.03_1_4
