offspring_id known_id candidate_id
1.FA2.09_H1_R1_12 1.FA2.09 1.FA2.08
1.FA2.09_H1_R1_13 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_14 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_16 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_17 1.FA2.09 1.FA2.08
1.FA2.09_H1_R1_18 1.FA2.09 1.FA2.09
1.FA2.09_H2_R1_06 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_07 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_08 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_09 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_10 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_11 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_12 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_13 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_14 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_15 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_16 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_17 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_18 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_19 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_20 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_21 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_22 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_23 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_24 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_25 1.FA2.09 1.FA2.08
1.FA2.09_H2_R1_26 1.FA2.09 1.FA2.08
1.FO1.01_H1_R1_01 1.FO1.01 1.FO1.03
1.FO1.01_H1_R1_02 1.FO1.01 1.FO1.03
1.FO1.01_H1_R1_03 1.FO1.01 1.FO1.07
1.FO1.01_H1_R1_04 1.FO1.01 1.FO1.03
